user_id,昵称,性别,所在地,是否认证,认证信息,微博数,粉丝数,关注数
1648736703,Pfaueninsel,f,其他,False,,27540,127484,1488
1738104717,微笑衣带渐宽,m,浙江 温州,False,,74027,644,1486
1660714980,一根红线剪不断,f,其他,True,人文艺术博主,12500,108911,960
2265642867,风见消,f,湖南 长沙,False,,4823,265,406
2170843400,嘈死-你,m,广东 广州,False,,32501,297,286
6747324908,球迷三哥,m,其他,False,,19313,797,141
6594195406,安康鸡毛信,f,陕西,True,北京华光艺彩文化传媒 职员,1064,71485,407
1646532395,看风景DM,f,其他,False,,23446,1030,1282
5148527235,奔跑的wen,m,其他,False,,2702,540,919
1883172084,月之瞳alex,f,上海,True,财经博主,22304,2818,633
2372844132,rcj531,m,山东 临沂,False,,7036,146,143
3872472373,博看博听,m,其他,False,,35436,863,6296
1871878885,Tony老板,m,海外 澳大利亚,False,,14214,2270,2452
6311411378,Osrovzki,m,海外 日本,False,,932,50,219
6099122141,慈悲·欢喜,m,其他,False,,5474,78,1047
6642317226,一头梅花小鹿,f,广西,False,,1859,39,469
1685826702,心灵猎捕者,m,海外 澳大利亚,False,,106493,561,1566
7308539178,榴莲蛋糕烘焙中心,f,其他,False,,959,487,1159
1067968100,仲夏爷之梦,f,北京 海淀区,False,,9093,6472,522
7389495611,哈三唔四老司机,m,上海,False,,14487,31,560
1400147553,洛兵,m,北京 朝阳区,True,音乐人，诗人，作家,11851,316624,616
1815672975,徐俊峰cch,m,湖北 武汉,False,,1568,755,1662
1723981287,潘金莲日记,m,其他,True,微博知名博主,9002,1041616,1574
3454068732,西安微博热搜,f,陕西,True,本地资讯博主（西安） 超话主持人（西安爆料超话） 微博原创视频博主 互联网科技博主 头条文章作者,15032,261622,8576
1609335653,马克布图,m,山东 济南,False,,15856,189,397
1865504713,太原晚报,m,山西 太原,True,太原晚报官方微博,64478,1169620,366
3702523900,宁波镇海检察,m,浙江 宁波,True,浙江省宁波市镇海区人民检察院官方微博,30647,21895,629
1668927541,Daphneday,f,浙江 杭州,False,,11077,1270,750
2277260272,西安美食娱乐排行榜,m,陕西 西安,True,本地资讯博主（西安） 超话主持人（团节社超话） 微博故事原创作者 资讯视频自媒体,22479,905343,1144
1744390051,无语的安子,f,北京 海淀区,False,,6037,347,71
5890667634,我可真是太胖了了,m,其他,False,,18743,71,405
1866044807,然昊明,m,北京,False,,3161,202,541
5463935364,桓台检察,m,山东 淄博,True,山东省淄博市桓台县人民检察院官方微博,26826,5948,260
1685815193,宋师傅123,m,上海 金山区,False,,41469,1212,1848
1582434840,大焱hrp,m,北京 朝阳区,False,,29919,527,2132
1765624227,百宝悦surelytreasurre,f,北京 海淀区,False,,36635,600,3979
7073875863,Magnifique_King,m,北京 东城区,False,,2714,55,163
7387793855,秩序-2020,f,上海,False,,4628,41,1190
3969809880,精准聚焦2018,m,四川 成都,False,,37381,575,794
